Unnamed: 0,Champion,Q,W,E,R,Kills,Deaths,Assists,Double Kills,Triple Kills,Quadra Kills,Pentakills,Gold Earned,Largest Killing Spree,Largest Multikill,Total Damage Dealt to Champions,Total Damage Shielded on Teammates,Total Heals on Teammates,Total Damage Taken,CS,CS/M,Wins,Losses
,Aurora,868,214,895,47,19,31,29,3,0,0,0,52974,5,2,165824,0,0,120332,236,6.5,2,2
,Azir,44,99,26,13,3,7,2,0,0,0,0,6750,3,1,20618,0,0,22967,0,0.0,0,1
,Brand,101,115,99,23,8,8,4,0,0,0,0,13300,4,1,54308,0,0,40371,0,0.0,1,0
,Caitlyn,46,68,51,10,2,8,3,0,0,0,0,9510,0,1,8739,0,0,16370,1,0.1,0,1
,Ekko,163,62,124,20,13,7,5,0,0,0,0,21460,8,1,50904,0,0,56488,375,8.7,0,1
,Ezreal,254,118,96,26,11,5,5,4,0,0,0,17560,6,2,60984,0,0,41031,0,0.0,1,0
,Gwen,109,37,74,55,16,7,2,2,0,0,0,19769,5,2,62010,0,2652,55494,0,0.0,1,0
,JarvanIV,110,102,92,24,6,9,17,0,0,0,0,15250,4,1,40748,5510,750,51595,0,0.0,1,0
,Jhin,64,39,26,54,5,7,2,0,0,0,0,12260,2,1,37379,0,0,26488,0,0.0,0,1
,Kassadin,100,137,165,150,12,9,2,1,0,0,0,12250,5,2,48460,0,1248,45639,0,0.0,0,1
,Kayle,57,56,74,9,8,10,3,1,0,0,0,14456,3,2,25133,0,2098,25869,1,0.1,0,1
,Khazix,296,200,110,54,14,16,9,1,0,0,0,25510,6,2,102471,0,0,74083,0,0.0,1,1
,Kindred,129,41,64,10,11,8,15,2,0,0,0,32650,4,2,84857,0,15046,51112,0,0.0,1,0
,Lucian,91,77,114,20,15,11,8,2,0,0,0,19730,3,2,55235,0,0,37215,259,8.0,0,1
,Nilah,81,19,34,10,3,11,2,0,0,0,0,7459,0,1,17001,960,794,24443,0,0.0,0,1
,Quinn,52,41,71,4,2,7,4,0,0,0,0,7450,2,1,15000,0,0,33149,0,0.0,0,1
,Renekton,28,19,39,13,3,6,3,0,0,0,0,7518,2,1,10193,0,0,20415,0,0.0,0,1
,Riven,236,59,105,30,3,6,16,0,0,0,0,18000,2,1,45457,0,0,41587,0,0.0,1,0
,Seraphine,109,41,121,20,4,8,5,0,0,0,0,11550,2,1,21799,4506,1615,29562,0,0.0,0,1
,Sivir,260,186,55,30,19,11,19,2,1,0,0,41266,10,3,112113,0,0,82853,490,11.1,1,1
,Syndra,153,163,69,14,7,5,7,1,0,0,0,13500,4,2,29672,0,0,26911,0,0.0,1,0
,Taliyah,127,50,57,11,2,7,6,0,0,0,0,11062,0,1,29961,0,0,29787,0,0.0,0,1
,Thresh,223,71,121,36,12,17,26,1,0,0,0,36919,5,2,60333,5860,188,125269,26,0.8,1,1
,Viego,49,52,26,10,3,8,4,0,0,0,0,11559,0,1,14396,0,0,26648,0,0.0,0,1
,Viktor,96,52,131,34,4,8,10,1,0,0,0,20000,2,2,44937,0,0,39231,0,0.0,1,0
,XinZhao,47,62,0,14,5,7,2,1,0,0,0,11800,2,2,20798,0,0,21912,0,0.0,0,1
,Yasuo,3477,231,2580,109,130,79,89,20,3,1,0,193520,11,4,459078,0,0,402055,3037,9.8,11,2
,Zed,281,355,320,73,32,10,17,2,0,0,0,40657,13,2,115090,0,0,60471,535,7.6,1,1
,Zoe,319,13,98,33,5,9,8,1,0,0,0,14650,2,2,45220,0,0,39188,0,0.0,1,0
